Có săm,Nhóm lốp,Cấu trúc lốp,Dòng series,Giá trị quy cách,Kiểu quy cách,Kiểu hoa,Đường kính vành,Rộng vành tiêu chuẩn,Rộng vành thích hợp,Đường kính ngoài,Chiều rộng toàn bộ,Chiều sâu hoa (mm),Số lớp bố,Phân loại tải,Chỉ số tải & tốc độ,Tải trọng lớn nhất,Nội áp tiêu chuẩn,Tốc độ tối đa,Giá nhập chưa VAT,Giá nhập có VAT,Giá bán chưa VAT,Giá bán có VAT
TRUE,Motorcycle,Normal,,2.25-17,INCH,301,431.8,1.4,1.40-1.60,556,59,4,4PR,SV,33L,115,225,120,,,,
TRUE,Motorcycle,Normal,,2.25-17,INCH,322,431.8,1.4,1.40-1.60,556,59,4,4PR,SV,33L,115,225,120,,,,
TRUE,Motorcycle,Normal,,2.25-17,INCH,366,431.8,1.4,1.40-1.60,556,59,4,4PR,SV,33L,115,225,120,,,,
TRUE,Motorcycle,Normal,,2.25-17,INCH,367,431.8,1.4,1.40-1.60,556,59,4,4PR,SV,33L,115,225,120,,,,
TRUE,Motorcycle,Normal,,2.50-17,INCH,318,431.8,1.6,1.40-1.85,568,65,5.3,6PR,EV,43L,155,280,120,,,,
TRUE,Motorcycle,Normal,,2.50-17,INCH,339,431.8,1.6,1.40-1.85,568,65,5,6PR,EV,43L,155,280,120,,,,
TRUE,Motorcycle,Normal,,2.50-17,INCH,366,431.8,1.6,1.40-1.85,568,65,5,6PR,EV,43L,155,280,120,,,,
TRUE,Motorcycle,Normal,,2.50-17,INCH,367,431.8,1.6,1.40-1.85,568,65,5,6PR,EV,43L,155,280,120,,,,
TRUE,Motorcycle,Normal,,2.75-17,INCH,339,431.8,1.85,1.60-2.15,588,75,7,6PR,EV,41P,145,225,150,,,,
TRUE,Motorcycle,Normal,,2.75-17,INCH,366,431.8,1.85,1.60-2.15,588,75,6,6PR,EV,47P,175,280,150,,,,
TRUE,Motorcycle,Normal,,2.75-17,INCH,367,431.8,1.85,1.60-2.15,588,75,6,6PR,EV,47P,175,280,150,,,,
TRUE,Motorcycle,Normal,,3.00-17,INCH,327,431.8,1.85,1.60-2.15,602,80,7,6PR,EV,50P,190,280,150,,,,
TRUE,Motorcycle,Normal,,2.50-18,INCH,311,457.2,1.6,1.40-1.85,593,65,4.5,4PR,SV,40L,140,225,150,,,,
TRUE,Motorcycle,Normal,,3.00-19,INCH,315,482.6,1.85,1.60-2.15,653,80,6,10PR,EV,49P,185,225,150,,,,
TRUE,Motorcycle,Millimetric ,90,70/90-14,METRIC,344,355.6,1.6,1.40-1.85,482,69,4,4PR,SV,34P,118,225,150,,,,
TRUE,Motorcycle,Millimetric ,90,80/90-14,METRIC,343,355.6,1.85,1.60-2.15,500,80,4.5,4PR,SV,40P,140,230,150,,,,
TRUE,Motorcycle,Millimetric ,90,80/90-14,METRIC,344,355.6,1.85,1.60-2.15,500,80,4.5,4PR,SV,40P,140,230,150,,,,
TRUE,Motorcycle,Millimetric ,90,90/90-14,METRIC,343,355.6,2.15,1.85-2.50,518,90,5,4PR,SV,46P,170,230,150,,,,
TRUE,Motorcycle,Millimetric ,90,70/90-17,METRIC,340,431.8,1.6,1.40-1.85,558,69,4.5,4PR,SV,38P,132,230,150,,,,
TRUE,Motorcycle,Millimetric ,90,70/90-17,METRIC,342,431.8,1.6,1.40-1.85,558,69,4.5,4PR,SV,38P,132,225,150,,,,
TRUE,Motorcycle,Millimetric ,90,70/90-17,METRIC,365,431.8,1.6,1.40-1.85,558,69,4.5,4PR,SV,38P,132,230,150,,,,
TRUE,Motorcycle,Millimetric ,90,70/90-17,METRIC,365,431.8,1.6,1.40-1.85,558,69,4.5,4PR,SV,38P,132,230,150,,,,
TRUE,Motorcycle,Millimetric ,90,80/90-17,METRIC,340,431.8,1.85,1.60-2.15,576,80,5,6PR,EV,44P,160,225,150,,,,
TRUE,Motorcycle,Millimetric ,90,80/90-17,METRIC,342,431.8,1.85,1.60-2.15,576,80,5,6PR,SV,44P,160,225,150,,,,
TRUE,Motorcycle,Millimetric ,90,80/90-17,METRIC,365,431.8,1.85,1.60-2.15,576,80,5,4PR,SV,44P,160,225,150,,,,
TRUE,Motorcycle,Millimetric ,100,70/100-17,METRIC,340,431.8,1.6,1.40-1.85,571,69,4,6PR,EV,40P,170,280,150,,,,
