Loại xe đạp,Vành,Giá trị quy cách,Kiểu quy cách,Kiểu hoa,Đường kính ngoài,Chiều rộng toàn bộ,Đường kính vành,Chiều rộng vành,Nội áp tiêu chuẩn,Tải trọng lớn nhất,Giá nhập chưa VAT,Giá nhập có VAT,Giá bán chưa VAT,Giá bán có VAT
Normal,SS&CT (Thẳng và U),20x1_3/4,INCH,217,497,40,406,22,280,65,,,,
Normal,SS&CT (Thẳng và U),24x1_3/8,INCH,219,612,37,540,22,280,60,,,,
Normal,SS&CT (Thẳng và U),26x1_3/8,INCH,219,665,37,590,22,280,70,,,,
Normal,SS&CT (Thẳng và U),26x1_3/8x1_1/2,INCH,205,658,37,584,22,280,70,,,,
Normal,SS&CT (Thẳng và U),27x1_3/8,INCH,219,704,37,630,22,280,70,,,,
Normal,HB (gờ móc),16x1.75,INCH,219,396,47,305,27,250,50,,,,
Normal,HB (gờ móc),20x1.75,INCH,117,497,47,406,27,250,55,,,,
Normal,HB (gờ móc),20x1.75,INCH,517,497,47,406,27,250,55,,,,
Normal,HB (gờ móc),20x1.95,INCH,216,504,50,406,27,250,75,,,,
Normal,HB (gờ móc),20x1.95,INCH,228,504,50,406,27,250,75,,,,
Normal,HB (gờ móc),24x1.75,INCH,227,595,47,507,27,250,80,,,,
Normal,HB (gờ móc),24x1.75,INCH,230,595,47,507,27,250,80,,,,
Normal,HB (gờ móc),24x1.95,INCH,216,608,50,507,27,250,85,,,,
Normal,HB (gờ móc),24x1.95,INCH,D208,608,50,507,27,250,85,,,,
Normal,HB (gờ móc),26x1.95,INCH,D208,658,50,559,27,250,95,,,,
Electric,HB (gờ móc),16x2.50,INCH,D210,428,64,305,30.5,280,100,,,,
Electric,HB (gờ móc),16x2.50,INCH,D215,428,64,305,30.5,280,100,,,,
Electric,HB (gờ móc),18x2.125,INCH,D210,456,57,355,30.5,280,80,,,,
Electric,HB (gờ móc),18x2.50,INCH,D210,482,64,355,30.5,280,100,,,,
Electric,HB (gờ móc),18x2.50,INCH,D215,482,64,355,30.5,280,100,,,,
Electric,HB (gờ móc),22x1.75,INCH,117,543,47,456,27,280,65,,,,
