Có săm,Nhóm lốp,Cấu trúc lốp,Dòng series,Giá trị quy cách,Kiểu quy cách,Kiểu hoa,Đường kính vành,Rộng vành tiêu chuẩn,Rộng vành thích hợp,Đường kính ngoài,Chiều rộng toàn bộ,Chiều sâu hoa,Số lớp bố,Phân loại tải,Chỉ số tải & tốc độ,Tải trọng lớn nhất,Nội áp tiêu chuẩn,Tốc độ tối đa,Giá nhập chưa VAT,Giá nhập có VAT,Giá bán chưa VAT,Giá bán có VAT,Chiều sâu hoa (mm)
FALSE,Motorcycle,Normal,,3.00-18,INCH,D354,18,1.85,1.60-2.15,627,80,6,6PR,EV,52P,200,280,150,"219,748","237,327","241,722","261,060",
FALSE,Motorcycle,Millimetric,70,110/70-14,METRIC,119,14,3,1.75-3.50,513,110,5,6PR,EV,56P,224,280,150,,,,,
FALSE,Motorcycle,Millimetric,70,110/70-14,METRIC,121,14,3,1.75-3.50,513,110,5,6PR,EV,56P,224,280,150,,,,,
FALSE,Motorcycle,Millimetric,70,140/70-14,METRIC,D355,14,3.75,3.50-4.00,552,139,6.5,4PR,SV,62P,265,230,150,,,,,
FALSE,Motorcycle,Millimetric,70,140/70-14,METRIC,D356,14,3.75,3.50-4.00,552,139,6.5,4PR,SV,62P,265,230,150,,,,,
FALSE,Motorcycle,Millimetric,70,100/70-17,METRIC,D355,17,2.75,2.50-3.00,572,100,5.5,4PR,SV,49P,185,230,150,,,,,
FALSE,Motorcycle,Millimetric,70,110/70-17,METRIC,D355,17,3,2.75-3.50,586,110,6,4PR,SV,54P,212,230,150,,,,,
FALSE,Motorcycle,Millimetric,70,120/70-17,METRIC,D355,17,3.5,3.00-3.75,600,122,6.5,4PR,SV,58P,236,230,150,,,,,
FALSE,Motorcycle,Millimetric,70,130/70-17,METRIC,D375,17,3.5,3.00-3.75,615,129,7,4PR,SV,62P,265,230,150,,,,,
FALSE,Motorcycle,Millimetric,80,80/80-14,METRIC,119,14,1.85,1.60-2.15,484,80,4.5,6PR,EV,43P,155,280,150,,,,,
FALSE,Motorcycle,Millimetric,80,80/80-14,METRIC,121,14,1.85,1.60-2.15,484,80,4.5,4PR,SV,43P,155,280,150,,,,,
FALSE,Motorcycle,Millimetric,80,100/80-14,METRIC,119,14,2.5,2.15-2.75,516,101,6,4PR,SV,48P,180,230,150,,,,,
FALSE,Motorcycle,Millimetric,80,100/80-14,METRIC,121,14,2.5,2.15-2.75,516,101,6,4PR,SV,48P,180,230,150,,,,,
FALSE,Motorcycle,Millimetric,80,110/80-14,METRIC,D355,14,2.5,2.15-2.75,532,109,5,4PR,SV,53P,206,230,150,,,,,
FALSE,Motorcycle,Millimetric,80,110/80-14,METRIC,D356,14,2.5,2.15-2.75,532,109,5,4PR,SV,53P,206,230,150,,,,,
FALSE,Motorcycle,Millimetric,80,100/80-16,METRIC,D355,16,2.5,2.15-2.75,566,101,5.5,4PR,SV,50P,190,230,150,,,,,
FALSE,Motorcycle,Millimetric,80,100/80-16,METRIC,D356,16,2.5,2.15-2.75,566,101,5.5,4PR,SV,50P,190,230,150,,,,,
FALSE,Motorcycle,Millimetric,80,120/80-16,METRIC,D355,16,2.75,2.50-3.00,598,119,6.5,4PR,SV,60P,205,230,150,,,,,
FALSE,Motorcycle,Millimetric,80,120/80-16,METRIC,D356,16,2.75,2.50-3.00,598,119,6.5,4PR,SV,60P,205,230,150,,,,,
FALSE,Motorcycle,Millimetric,80,90/80-17,METRIC,D355,17,2.15,1.85-2.50,576,90,5,4PR,SV,46P,170,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,80/90-14,METRIC,119,14,1.85,1.60-2.15,500,80,4.5,4PR,SV,40P,140,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,80/90-14,METRIC,121,14,1.85,1.60-2.15,500,80,4.5,4PR,SV,40P,140,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,80/90-14,METRIC,D373,14,1.85,1.60-2.15,500,80,4.5,4PR,SV,40P,140,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,90/90-14,METRIC,119,14,2.15,1.85-2.50,518,90,5,4PR,SV,46P,170,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,90/90-14,METRIC,121,14,2.15,1.85-2.50,518,90,5,4PR,SV,46P,170,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,90/90-14,METRIC,D373,14,2.15,1.85-2.50,518,90,5,4PR,SV,46P,170,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,100/90-14,METRIC,119,14,2.5,2.15-2.75,536,101,6,6PR,EV,57P,230,280,150,,,,,
FALSE,Motorcycle,Millimetric,90,100/90-14,METRIC,121,14,2.5,2.15-2.75,536,101,6,6PR,EV,57P,230,280,150,,,,,
FALSE,Motorcycle,Millimetric,90,70/90-16,METRIC,119,16,1.6,1.40-1.85,532,69,4.5,4PR,SV,36P,125,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,70/90-16,METRIC,121,16,1.6,1.40-1.85,532,69,4.5,4PR,SV,36P,125,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,80/90-16,METRIC,119,16,1.85,1.60-2.15,550,80,5,4PR,SV,43P,155,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,80/90-16,METRIC,121,16,1.85,1.60-2.15,550,80,5,4PR,SV,43P,155,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,110/90-16,METRIC,D354,16,2.5,2.15-2.75,604,109,10,6PR,EV,59P,243,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,70/90-17,METRIC,D355,17,1.6,1.40-1.85,558,69,4.5,4PR,SV,38P,132,230,150,,,,,
FALSE,Motorcycle,Millimetric,90,80/90-17,METRIC,D352,17,1.85,1.60-2.15,576,80,5,4PR,SV,44P,160,225,150,,,,,
FALSE,Motorcycle,Millimetric,90,80/90-17,METRIC,D355,17,1.85,1.60-2.15,576,80,5,4PR,SV,44P,160,225,150,,,,,
FALSE,Motorcycle,Millimetric,90,80/90-17,METRIC,D375,17,1.85,1.60-2.15,576,80,5,6PR,EV,50P,190,280,150,,,,,
FALSE,Motorcycle,Millimetric,90,80/90-17,METRIC,D383,17,1.85,1.60-2.15,576,80,5,6PR,EV,50P,190,280,150,,,,,
FALSE,Scooter,Millimetric,70,120/70-10,METRIC,D354,10,3.5,3.00-3.75,422,122,6,4PR,SV,48P,180,230,150,,,,,
FALSE,Scooter,Millimetric,70,110/70-11,METRIC,D354,11,3,2.75-3.50,433,110,5,4PR,SV,45P,165,230,150,,,,,
FALSE,Scooter,Millimetric,70,120/70-11,METRIC,D354,11,3.5,3.00-3.75,447,122,6,4PR,SV,50P,190,230,150,,,,,
FALSE,Scooter,Millimetric,70,110/70-12,METRIC,D354,12,3,2.75-3.50,459,110,5,4PR,SV,47P,175,230,150,,,,,
FALSE,Scooter,Millimetric,70,120/70-12,METRIC,D354,12,3.5,3.00-3.75,473,122,6,4PR,SV,51P,195,230,150,,,,,
FALSE,Scooter,Millimetric,70,130/70-12,METRIC,119,12,3.5,3.00-3.75,487,129,6,4PR,SV,56P,224,280,150,,,,,
FALSE,Scooter,Millimetric,70,130/70-12,METRIC,D354,12,3.5,3.00-3.75,487,129,6,4PR,SV,56P,224,280,150,,,,,
FALSE,Scooter,Millimetric,70,90/90-12,METRIC,119,12,2.15,1.85-2.50,467,90,4.5,2PR,LV,44J,160,175,100,,,,,
FALSE,Scooter,Millimetric,70,100/90-10,METRIC,118,10,2.5,2.15-2.75,434,101,6,4PR,SV,56J,224,250,100,,,,,
FALSE,Scooter,Millimetric,70,100/90-10,METRIC,119,10,2.5,2.15-2.75,434,101,6,4PR,SV,56J,224,250,100,,,,,
TRUE,Motorcycle,Normal,,2.25-17,INCH,367,431.8,1.4,1.40-1.60,556,59,4,4PR,SV,33L,115,225,120,,,,,
TRUE,Motorcycle,Normal,,2.50-17,INCH,367,431.8,1.6,1.40-1.85,568,65,5,6PR,EV,43L,155,280,120,,,,,
TRUE,Motorcycle,Normal,,2.75-17,INCH,367,431.8,1.85,1.60-2.15,588,75,6,6PR,EV,47P,175,280,150,,,,,
TRUE,Motorcycle,Normal,,70/90-17,METRIC,D373,431.8,1.6,1.40-1.85,558,69,4.5,4PR,SV,38P,132,230,150,,,,,
TRUE,Motorcycle,Normal,,80/90-17,METRIC,D373,431.8,1.85,1.60-2.15,576,80,5,4PR,SV,44P,160,225,150,,,,,
TRUE,Motorcycle,Normal,,2.25-17,INCH,301,431.8,1.4,1.40-1.60,556,59,,4PR,SV,33L,115,225,120,,,,,4
TRUE,Motorcycle,Normal,,2.25-17,INCH,322,431.8,1.4,1.40-1.60,556,59,,4PR,SV,33L,115,225,120,,,,,4
TRUE,Motorcycle,Normal,,2.25-17,INCH,366,431.8,1.4,1.40-1.60,556,59,,4PR,SV,33L,115,225,120,,,,,4
TRUE,Motorcycle,Normal,,2.50-17,INCH,318,431.8,1.6,1.40-1.85,568,65,,6PR,EV,43L,155,280,120,,,,,5.3
TRUE,Motorcycle,Normal,,2.50-17,INCH,339,431.8,1.6,1.40-1.85,568,65,,6PR,EV,43L,155,280,120,,,,,5
TRUE,Motorcycle,Normal,,2.50-17,INCH,366,431.8,1.6,1.40-1.85,568,65,,6PR,EV,43L,155,280,120,,,,,5
TRUE,Motorcycle,Normal,,2.75-17,INCH,339,431.8,1.85,1.60-2.15,588,75,,6PR,EV,41P,145,225,150,,,,,7
TRUE,Motorcycle,Normal,,2.75-17,INCH,366,431.8,1.85,1.60-2.15,588,75,,6PR,EV,47P,175,280,150,,,,,6
TRUE,Motorcycle,Normal,,3.00-17,INCH,327,431.8,1.85,1.60-2.15,602,80,,6PR,EV,50P,190,280,150,,,,,7
TRUE,Motorcycle,Normal,,2.50-18,INCH,311,457.2,1.6,1.40-1.85,593,65,,4PR,SV,40L,140,225,150,,,,,4.5
TRUE,Motorcycle,Normal,,3.00-19,INCH,315,482.6,1.85,1.60-2.15,653,80,,10PR,EV,49P,185,225,150,,,,,6
TRUE,Motorcycle,Millimetric ,90,70/90-14,METRIC,344,355.6,1.6,1.40-1.85,482,69,,4PR,SV,34P,118,225,150,,,,,4
TRUE,Motorcycle,Millimetric ,90,80/90-14,METRIC,343,355.6,1.85,1.60-2.15,500,80,,4PR,SV,40P,140,230,150,,,,,4.5
TRUE,Motorcycle,Millimetric ,90,80/90-14,METRIC,344,355.6,1.85,1.60-2.15,500,80,,4PR,SV,40P,140,230,150,,,,,4.5
TRUE,Motorcycle,Millimetric ,90,90/90-14,METRIC,343,355.6,2.15,1.85-2.50,518,90,,4PR,SV,46P,170,230,150,,,,,5
TRUE,Motorcycle,Millimetric ,90,70/90-17,METRIC,340,431.8,1.6,1.40-1.85,558,69,,4PR,SV,38P,132,230,150,,,,,4.5
TRUE,Motorcycle,Millimetric ,90,70/90-17,METRIC,342,431.8,1.6,1.40-1.85,558,69,,4PR,SV,38P,132,225,150,,,,,4.5
TRUE,Motorcycle,Millimetric ,90,70/90-17,METRIC,365,431.8,1.6,1.40-1.85,558,69,,4PR,SV,38P,132,230,150,,,,,4.5
TRUE,Motorcycle,Millimetric ,90,80/90-17,METRIC,340,431.8,1.85,1.60-2.15,576,80,,6PR,EV,44P,160,225,150,,,,,5
TRUE,Motorcycle,Millimetric ,90,80/90-17,METRIC,342,431.8,1.85,1.60-2.15,576,80,,6PR,SV,44P,160,225,150,,,,,5
TRUE,Motorcycle,Millimetric ,90,80/90-17,METRIC,365,431.8,1.85,1.60-2.15,576,80,,4PR,SV,44P,160,225,150,,,,,5
TRUE,Motorcycle,Millimetric ,100,70/100-17,METRIC,340,431.8,1.6,1.40-1.85,571,69,,6PR,EV,40P,170,280,150,,,,,4
