name,sku,slug,description,price,sale_price,stock_quantity,size,rim_diameter,load_index,speed_rating,tire_type,ai_label,category_id
3.00-18 D354,3.00-18-d354-0,3.00-18-d354-0,Lốp xe Motorcycle kích thước 3.00-18,241722.0,241722.0,100,3.00-18,18.0,52P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
110/70-14 119,110/70-14-119-1,110/70-14-119-1,Lốp xe Motorcycle kích thước 110/70-14,0.0,0.0,100,110/70-14,14.0,56P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
110/70-14 121,110/70-14-121-2,110/70-14-121-2,Lốp xe Motorcycle kích thước 110/70-14,0.0,0.0,100,110/70-14,14.0,56P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
140/70-14 D355,140/70-14-d355-3,140/70-14-d355-3,Lốp xe Motorcycle kích thước 140/70-14,0.0,0.0,100,140/70-14,14.0,62P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
140/70-14 D356,140/70-14-d356-4,140/70-14-d356-4,Lốp xe Motorcycle kích thước 140/70-14,0.0,0.0,100,140/70-14,14.0,62P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
100/70-17 D355,100/70-17-d355-5,100/70-17-d355-5,Lốp xe Motorcycle kích thước 100/70-17,0.0,0.0,100,100/70-17,17.0,49P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
110/70-17 D355,110/70-17-d355-6,110/70-17-d355-6,Lốp xe Motorcycle kích thước 110/70-17,0.0,0.0,100,110/70-17,17.0,54P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
120/70-17 D355,120/70-17-d355-7,120/70-17-d355-7,Lốp xe Motorcycle kích thước 120/70-17,0.0,0.0,100,120/70-17,17.0,58P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
130/70-17 D375,130/70-17-d375-8,130/70-17-d375-8,Lốp xe Motorcycle kích thước 130/70-17,0.0,0.0,100,130/70-17,17.0,62P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/80-14 119,80/80-14-119-9,80/80-14-119-9,Lốp xe Motorcycle kích thước 80/80-14,0.0,0.0,100,80/80-14,14.0,43P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/80-14 121,80/80-14-121-10,80/80-14-121-10,Lốp xe Motorcycle kích thước 80/80-14,0.0,0.0,100,80/80-14,14.0,43P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
100/80-14 119,100/80-14-119-11,100/80-14-119-11,Lốp xe Motorcycle kích thước 100/80-14,0.0,0.0,100,100/80-14,14.0,48P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
100/80-14 121,100/80-14-121-12,100/80-14-121-12,Lốp xe Motorcycle kích thước 100/80-14,0.0,0.0,100,100/80-14,14.0,48P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
110/80-14 D355,110/80-14-d355-13,110/80-14-d355-13,Lốp xe Motorcycle kích thước 110/80-14,0.0,0.0,100,110/80-14,14.0,53P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
110/80-14 D356,110/80-14-d356-14,110/80-14-d356-14,Lốp xe Motorcycle kích thước 110/80-14,0.0,0.0,100,110/80-14,14.0,53P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
100/80-16 D355,100/80-16-d355-15,100/80-16-d355-15,Lốp xe Motorcycle kích thước 100/80-16,0.0,0.0,100,100/80-16,16.0,50P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
100/80-16 D356,100/80-16-d356-16,100/80-16-d356-16,Lốp xe Motorcycle kích thước 100/80-16,0.0,0.0,100,100/80-16,16.0,50P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
120/80-16 D355,120/80-16-d355-17,120/80-16-d355-17,Lốp xe Motorcycle kích thước 120/80-16,0.0,0.0,100,120/80-16,16.0,60P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
120/80-16 D356,120/80-16-d356-18,120/80-16-d356-18,Lốp xe Motorcycle kích thước 120/80-16,0.0,0.0,100,120/80-16,16.0,60P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
90/80-17 D355,90/80-17-d355-19,90/80-17-d355-19,Lốp xe Motorcycle kích thước 90/80-17,0.0,0.0,100,90/80-17,17.0,46P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-14 119,80/90-14-119-20,80/90-14-119-20,Lốp xe Motorcycle kích thước 80/90-14,0.0,0.0,100,80/90-14,14.0,40P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-14 121,80/90-14-121-21,80/90-14-121-21,Lốp xe Motorcycle kích thước 80/90-14,0.0,0.0,100,80/90-14,14.0,40P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
